epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.767180442810059,8.145030975341797,14.933608055114746,1.0,15.767180442810059,8.145030975341797,14.933608055114746,1.0
0,0,16.56504249572754,9.775206565856934,15.732290267944336,1.0,16.56504249572754,9.775206565856934,15.732290267944336,1.0,,,,,,,,
1,1,,,,,,,,,14.349974632263184,7.1018500328063965,13.516337394714355,0.9508196711540222,14.349974632263184,7.1018500328063965,13.516337394714355,0.9508196711540222
1,1,15.441780090332031,8.166830062866211,14.607451438903809,1.0,15.441780090332031,8.166830062866211,14.607451438903809,1.0,,,,,,,,
2,2,,,,,,,,,14.514900207519531,7.173771381378174,13.68118667602539,0.9672130942344666,14.514900207519531,7.173771381378174,13.68118667602539,0.9672130942344666
2,2,14.12148666381836,7.119081497192383,13.287574768066406,0.9016393423080444,14.12148666381836,7.119081497192383,13.287574768066406,0.9016393423080444,,,,,,,,
3,3,,,,,,,,,13.953187942504883,6.816442489624023,13.119486808776855,0.868852436542511,13.953187942504883,6.816442489624023,13.119486808776855,0.868852436542511
3,3,14.15479850769043,7.154986381530762,13.319557189941406,0.9180327653884888,14.15479850769043,7.154986381530762,13.319557189941406,0.9180327653884888,,,,,,,,
4,4,,,,,,,,,12.72988510131836,6.519830226898193,11.896393775939941,0.7540983557701111,12.72988510131836,6.519830226898193,11.896393775939941,0.7540983557701111
4,4,13.65859603881836,6.81348991394043,12.825565338134766,0.8032786846160889,13.65859603881836,6.81348991394043,12.825565338134766,0.8032786846160889,,,,,,,,
