epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.767180442810059,8.145030975341797,14.933608055114746,1.0,15.767180442810059,8.145030975341797,14.933608055114746,1.0
0,0,16.56504249572754,9.775206565856934,15.732290267944336,1.0,16.56504249572754,9.775206565856934,15.732290267944336,1.0,,,,,,,,
1,1,,,,,,,,,14.349974632263184,7.1018500328063965,13.516337394714355,0.9508196711540222,14.349974632263184,7.1018500328063965,13.516337394714355,0.9508196711540222
1,1,15.441780090332031,8.166830062866211,14.607451438903809,1.0,15.441780090332031,8.166830062866211,14.607451438903809,1.0,,,,,,,,
2,2,,,,,,,,,14.514900207519531,7.173771381378174,13.68118667602539,0.9672130942344666,14.514900207519531,7.173771381378174,13.68118667602539,0.9672130942344666
2,2,14.12148666381836,7.119081497192383,13.287574768066406,0.9016393423080444,14.12148666381836,7.119081497192383,13.287574768066406,0.9016393423080444,,,,,,,,
3,3,,,,,,,,,13.953187942504883,6.816442489624023,13.119486808776855,0.868852436542511,13.953187942504883,6.816442489624023,13.119486808776855,0.868852436542511
3,3,14.15479850769043,7.154986381530762,13.319557189941406,0.9180327653884888,14.15479850769043,7.154986381530762,13.319557189941406,0.9180327653884888,,,,,,,,
4,4,,,,,,,,,12.72988510131836,6.519830226898193,11.896393775939941,0.7540983557701111,12.72988510131836,6.519830226898193,11.896393775939941,0.7540983557701111
4,4,13.65859603881836,6.81348991394043,12.825565338134766,0.8032786846160889,13.65859603881836,6.81348991394043,12.825565338134766,0.8032786846160889,,,,,,,,
5,5,,,,,,,,,12.061473846435547,6.32173490524292,11.2279691696167,0.6721311211585999,12.061473846435547,6.32173490524292,11.2279691696167,0.6721311211585999
5,5,12.507770538330078,6.48030424118042,11.673669815063477,0.7213114500045776,12.507770538330078,6.48030424118042,11.673669815063477,0.7213114500045776,,,,,,,,
6,6,,,,,,,,,11.982877731323242,6.426506519317627,11.149580955505371,0.8196721076965332,11.982877731323242,6.426506519317627,11.149580955505371,0.8196721076965332
6,6,11.79431438446045,6.283919334411621,10.962178230285645,0.6721311211585999,11.79431438446045,6.283919334411621,10.962178230285645,0.6721311211585999,,,,,,,,
7,7,,,,,,,,,11.719869613647461,6.354227066040039,10.886571884155273,0.8360655903816223,11.719869613647461,6.354227066040039,10.886571884155273,0.8360655903816223
7,7,11.755603790283203,6.392773628234863,10.922186851501465,0.8032786846160889,11.755603790283203,6.392773628234863,10.922186851501465,0.8032786846160889,,,,,,,,
8,8,,,,,,,,,11.366377830505371,6.319550037384033,10.533015251159668,0.8196721076965332,11.366377830505371,6.319550037384033,10.533015251159668,0.8196721076965332
8,8,11.464057922363281,6.317658424377441,10.632590293884277,0.7704917788505554,11.464057922363281,6.317658424377441,10.632590293884277,0.7704917788505554,,,,,,,,
9,9,,,,,,,,,11.213776588439941,6.4834489822387695,10.380468368530273,0.8524590134620667,11.213776588439941,6.4834489822387695,10.380468368530273,0.8524590134620667
9,9,11.128300666809082,6.271511554718018,10.295256614685059,0.7540983557701111,11.128300666809082,6.271511554718018,10.295256614685059,0.7540983557701111,,,,,,,,
10,10,,,,,,,,,11.194738388061523,6.50173807144165,10.361420631408691,0.8524590134620667,11.194738388061523,6.50173807144165,10.361420631408691,0.8524590134620667
10,10,10.914970397949219,6.411320209503174,10.083111763000488,0.8032786846160889,10.914970397949219,6.411320209503174,10.083111763000488,0.8032786846160889,,,,,,,,
11,11,,,,,,,,,11.210650444030762,6.460095405578613,10.377328872680664,0.8360655903816223,11.210650444030762,6.460095405578613,10.377328872680664,0.8360655903816223
11,11,10.91458511352539,6.431145191192627,10.081380844116211,0.8032786846160889,10.91458511352539,6.431145191192627,10.081380844116211,0.8032786846160889,,,,,,,,
